,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
436,4.0,0.0,1999,1788.9356936416184
437,4.0,0.0,2000,1793.4290429042903
438,4.0,0.0,2001,1838.8082051282051
439,4.0,0.0,2002,1862.88322147651
440,4.0,0.0,2003,1913.251724137931
441,4.0,0.0,2004,1813.8979187314173
442,4.0,0.0,2005,1838.6506364922207
443,4.0,0.0,2006,1824.7060669456066
444,4.0,0.0,2007,1846.4239323843417
445,4.0,0.0,2008,1860.738301559792
446,4.0,0.0,2009,1919.5428039702233
447,4.0,0.0,2010,1958.3754972155928
448,4.0,0.0,2011,1941.8675966715614
449,4.0,0.0,2012,1930.3922818791946
450,4.0,0.0,2013,1867.994256999282
451,4.0,0.0,2014,1803.252245508982
452,4.0,0.0,2015,1791.5065597667638
453,4.0,0.0,2016,1756.4452449567723
454,4.0,0.0,2017,1782.529207232267
455,4.0,0.0,2018,1749.137106918239
456,4.0,0.0,2019,1778.8924669350201
457,4.0,0.0,2020,1760.0663856691253
458,4.0,0.0,2021,1807.2594458438286
459,4.0,0.0,2022,1761.1960104076322
460,4.0,0.0,2023,1763.406976744186
461,4.0,1.0,1990,1163.0
462,4.0,1.0,1991,998.0
463,4.0,1.0,1992,1685.745137880987
464,4.0,1.0,1993,1660.6331383519837
465,4.0,1.0,1994,1597.4976992261034
466,4.0,1.0,1995,1600.8356705013016
467,4.0,1.0,1996,1746.0863636363636
468,4.0,1.0,1997,1794.9476439790576
469,4.0,1.0,1998,1718.3880597014925
470,4.0,1.0,1999,1757.5307262569831
471,4.0,1.0,2000,1782.1305595408896
472,4.0,1.0,2001,1783.172
473,4.0,1.0,2002,1793.0650793650793
474,4.0,1.0,2003,1812.9551282051282
475,4.0,1.0,2004,1807.0663716814158
476,4.0,1.0,2005,1804.1271676300578
477,4.0,1.0,2006,1819.9228395061727
478,4.0,1.0,2007,1844.1737588652481
479,4.0,1.0,2008,1941.6939655172414
480,4.0,1.0,2009,2050.791044776119
481,4.0,1.0,2010,2073.71320754717
482,4.0,1.0,2011,2082.4333333333334
483,4.0,1.0,2012,2099.013043478261
484,4.0,1.0,2013,2040.1485714285714
485,4.0,1.0,2014,2230.456043956044
486,4.0,1.0,2015,2076.193370165746
487,4.0,1.0,2016,2071.3403141361255
488,4.0,1.0,2017,2025.9384615384615
489,4.0,1.0,2018,2067.3705583756346
490,4.0,1.0,2019,2025.9848484848485
491,4.0,1.0,2020,1959.8634146341462
492,4.0,1.0,2021,1898.551867219917
493,4.0,1.0,2022,1848.9922480620155
494,4.0,1.0,2023,1782.8367346938776
495,4.0,2.0,1993,1797.0
496,4.0,2.0,1994,1512.4285714285713
497,4.0,2.0,1995,1823.625
498,4.0,2.0,1996,1587.9663865546217
499,4.0,2.0,1997,1593.176652814507
500,4.0,2.0,1998,1531.0957100591716
501,4.0,2.0,1999,1499.8895544739798
502,4.0,2.0,2000,1511.8421160549517
503,4.0,2.0,2001,1612.6095505617977
504,4.0,2.0,2002,1774.8319218241043
505,4.0,2.0,2003,1754.1846846846847
506,4.0,2.0,2004,1738.9825620389001
507,4.0,2.0,2005,1775.019152640743
508,4.0,2.0,2006,1757.5304606240713
509,4.0,2.0,2007,1790.305641936917
